DATAFLOW,FREQ: Frequency of observation,REF_AREA: Reference area,STAT_UNIT: Statistical Unit,SEX: Sex,NATL: Nationality,SECTOR: Sector,EDU_LEVEL: Education Level,EDU_INST: Educational Institutions,EXAM_STATUS: Examination Status,FIELD: Fields of Education and Training,GRADE: Grade,INTENSITY: Intensity,ISLAND: Island,JOB_TYPE: Job Type,MNQF_LEVEL: MNQF Level,QUAL: Qualification,SUBJECT: Subject,TRNG_INST_MOD: Training Institutions and Modalities,UNIT_MEASURE: Unit of measure,TIME_PERIOD: Time period,OBS_VALUE,TABLE_ID: Table ID,UNIT_MULT: Unit multiplier,DECIMALS: Decimals
MV_MBS:YB_T0712(1.0),A: Annual,V: Felidhu Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G6: Grade 6,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,40,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Th: Kolhumadulu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC2: Lower secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G8: Grade 8,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,182,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,K: Male' Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G5: Grade 5,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,219,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,K: Male' Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G3: Grade 3,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,301,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,B: South Maalhosmadulu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC2: Lower secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,522,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Lh: Faadhippolhu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC2: Lower secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G9: Grade 9,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,166,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,F: North Nilandhe Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC2: Lower secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G9: Grade 9,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,92,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,GA: North Huvadhu Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC2: Lower secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G10: Grade 10,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,148,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,ATOLL: Atolls,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G3: Grade 3,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,4961,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,HA: North Thiladhunmathi,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC02: Pre-primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,NURS: Nurs.,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,20,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Gn: Gnaviyani,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,2516,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Gn: Gnaviyani,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G2: Grade 2,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,212,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,GA: North Huvadhu Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,2096,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,D: Maale City,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G2: Grade 2,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,2657,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,MV: Republic of Maldives,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G3: Grade 3,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,7659,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Th: Kolhumadulu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC3: Higher secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G12: Grade 12,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,5,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,R: North Maalhosmadulu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G5: Grade 5,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,396,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,HA: North Thiladhunmathi,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G6: Grade 6,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,325,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,D: Maale City,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,SC: Special Classes,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,0,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Adh: South Ari Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC2: Lower secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G10: Grade 10,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,141,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Adh: South Ari Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC02: Pre-primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,557,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,D: Maale City,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC2: Lower secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G9: Grade 9,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,2080,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,GA: North Huvadhu Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G4: Grade 4,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,169,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,HDh: South Thiladhunmathi,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC3: Higher secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G12: Grade 12,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,53,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,S: Addu City,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC3: Higher secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,371,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Sh: North Miladhunmadulu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC02: Pre-primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,689,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Lh: Faadhippolhu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G2: Grade 2,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,189,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Th: Kolhumadulu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC2: Lower secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G10: Grade 10,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,132,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Dh: South Nilandhe Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC3: Higher secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G11: Grade 11,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,17,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,V: Felidhu Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC3: Higher secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G12: Grade 12,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,0,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,MV: Republic of Maldives,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC3: Higher secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G11: Grade 11,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,2021,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,HDh: South Thiladhunmathi,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC2: Lower secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G8: Grade 8,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,403,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,D: Maale City,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC3: Higher secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G11: Grade 11,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,1231,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,S: Addu City,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G5: Grade 5,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,441,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,F: North Nilandhe Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G1: Grade 1,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,128,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,D: Maale City,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC02: Pre-primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,7309,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,R: North Maalhosmadulu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,4466,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,MV: Republic of Maldives,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G1: Grade 1,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,7261,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,HA: North Thiladhunmathi,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC2: Lower secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G10: Grade 10,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,225,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Aa: North Ari Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC2: Lower secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G8: Grade 8,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,121,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,F: North Nilandhe Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC3: Higher secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G11: Grade 11,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,30,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,HDh: South Thiladhunmathi,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC2: Lower secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G9: Grade 9,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,318,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Aa: North Ari Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC3: Higher secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G12: Grade 12,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,10,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,B: South Maalhosmadulu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC2: Lower secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G10: Grade 10,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,183,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Aa: North Ari Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,1914,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Gn: Gnaviyani,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,1443,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,HDh: South Thiladhunmathi,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,3463,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,L: Hadhdhunmathi,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G4: Grade 4,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,285,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,N: South Miladhunmadulu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G5: Grade 5,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,300,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,Th: Kolhumadulu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,SC: Special Classes,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,0,T0712,0: Units,0: Zero
